iter	Passed	Remaining
0	23	11875
1	45	11224
2	66	11081
3	90	11162
4	113	11231
5	138	11392
6	163	11543
7	189	11645
8	214	11679
9	239	11751
10	265	11805
11	292	11886
12	318	11941
13	346	12011
14	374	12111
15	403	12194
16	433	12311
17	462	12388
18	492	12456
19	520	12503
20	548	12517
21	576	12535
22	604	12541
23	632	12545
24	661	12567
25	691	12603
26	721	12641
27	752	12677
28	782	12716
29	814	12765
30	844	12781
31	875	12805
32	906	12829
33	937	12844
34	967	12853
35	997	12856
36	1026	12839
37	1057	12853
38	1088	12861
39	1119	12869
40	1150	12880
41	1181	12888
42	1213	12899
43	1245	12907
44	1278	12922
45	1309	12928
46	1341	12930
47	1372	12920
48	1402	12904
49	1432	12888
50	1461	12868
51	1492	12860
52	1524	12855
53	1554	12839
54	1584	12822
55	1614	12798
56	1643	12772
57	1671	12737
58	1699	12706
59	1730	12686
60	1758	12652
61	1788	12633
62	1816	12602
63	1844	12567
64	1874	12541
65	1901	12504
66	1931	12485
67	1961	12458
68	1988	12419
69	2018	12397
70	2046	12363
71	2075	12336
72	2103	12303
73	2132	12273
74	2160	12242
75	2189	12213
76	2217	12184
77	2251	12182
78	2288	12194
79	2318	12171
80	2348	12150
81	2377	12121
82	2407	12094
83	2436	12064
84	2465	12036
85	2494	12007
86	2523	11979
87	2551	11945
88	2580	11915
89	2609	11888
90	2638	11857
91	2666	11826
92	2694	11793
93	2722	11759
94	2751	11729
95	2779	11699
96	2808	11668
97	2837	11641
98	2865	11608
99	2895	11582
100	2923	11550
101	2954	11529
102	2983	11498
103	3011	11467
104	3040	11438
105	3069	11408
106	3097	11375
107	3125	11344
108	3154	11316
109	3184	11289
110	3212	11258
111	3241	11228
112	3269	11198
113	3298	11168
114	3327	11138
115	3354	11105
116	3384	11077
117	3413	11050
118	3442	11020
119	3470	10990
120	3499	10960
121	3528	10932
122	3556	10901
123	3585	10871
124	3614	10842
125	3643	10813
126	3672	10787
127	3701	10757
128	3729	10725
129	3758	10697
130	3787	10668
131	3814	10635
132	3842	10603
133	3871	10575
134	3906	10561
135	3942	10552
136	3979	10545
137	4018	10540
138	4054	10529
139	4091	10521
140	4129	10514
141	4168	10510
142	4208	10507
143	4246	10498
144	4282	10485
145	4319	10473
146	4356	10460
147	4390	10442
148	4422	10418
149	4454	10393
150	4486	10368
151	4516	10341
152	4548	10315
153	4578	10287
154	4608	10257
155	4638	10229
156	4669	10201
157	4699	10172
158	4729	10142
159	4758	10111
160	4787	10081
161	4818	10052
162	4848	10023
163	4877	9993
164	4906	9961
165	4935	9929
166	4964	9899
167	4996	9873
168	5025	9842
169	5055	9812
170	5084	9782
171	5113	9751
172	5142	9721
173	5173	9692
174	5202	9661
175	5232	9631
176	5260	9600
177	5290	9569
178	5320	9541
179	5350	9512
180	5381	9484
181	5409	9452
182	5438	9420
183	5467	9390
184	5497	9361
185	5527	9330
186	5557	9302
187	5587	9272
188	5615	9241
189	5645	9210
190	5674	9180
191	5704	9151
192	5734	9122
193	5765	9094
194	5795	9065
195	5824	9034
196	5854	9004
197	5883	8973
198	5913	8943
199	5943	8914
200	5972	8884
201	6003	8857
202	6032	8825
203	6061	8795
204	6092	8766
205	6121	8736
206	6149	8704
207	6177	8672
208	6206	8641
209	6237	8613
210	6267	8584
211	6295	8552
212	6324	8522
213	6353	8490
214	6382	8460
215	6410	8428
216	6438	8397
217	6467	8366
218	6494	8332
219	6521	8300
220	6548	8266
221	6576	8234
222	6603	8202
223	6630	8170
224	6659	8139
225	6687	8107
226	6714	8075
227	6741	8042
228	6769	8010
229	6797	7979
230	6824	7947
231	6853	7916
232	6880	7884
233	6907	7852
234	6934	7820
235	6962	7788
236	6991	7758
237	7019	7727
238	7046	7695
239	7073	7662
240	7100	7631
241	7127	7598
242	7155	7567
243	7183	7537
244	7211	7506
245	7240	7475
246	7267	7444
247	7295	7413
248	7324	7383
249	7351	7351
250	7378	7320
251	7405	7288
252	7432	7256
253	7459	7224
254	7486	7193
255	7514	7161
256	7541	7130
257	7569	7100
258	7597	7069
259	7624	7038
260	7653	7008
261	7682	6978
262	7709	6947
263	7737	6916
264	7766	6887
265	7794	6857
266	7822	6826
267	7850	6795
268	7877	6764
269	7905	6734
270	7933	6704
271	7961	6673
272	7989	6643
273	8017	6613
274	8044	6581
275	8072	6551
276	8099	6520
277	8126	6489
278	8153	6458
279	8180	6427
280	8207	6396
281	8236	6366
282	8264	6337
283	8291	6306
284	8319	6275
285	8349	6247
286	8379	6218
287	8407	6188
288	8436	6159
289	8464	6129
290	8493	6100
291	8522	6071
292	8552	6041
293	8580	6012
294	8609	5983
295	8639	5954
296	8668	5925
297	8698	5896
298	8727	5866
299	8757	5838
300	8788	5810
301	8818	5781
302	8848	5752
303	8876	5722
304	8905	5693
305	8934	5664
306	8962	5634
307	8990	5604
308	9021	5576
309	9049	5546
310	9077	5516
311	9105	5486
312	9132	5456
313	9160	5426
